Pontuacao,ComprimentoCorpo,Montanha,Local
16.14730946,165.5485196,Huascaran,a
33.88618347,167.5593135,Huascaran,a
6.038332941,165.8829517,Huascaran,a
18.83882129,167.6855249,Huascaran,a
33.8623279,169.9596807,Huascaran,a
47.04324591,168.6887472,Huascaran,a
2.557890462,169.6193817,Huascaran,a
3.875730463,164.4162728,Huascaran,a
3.597529521,167.5104297,Huascaran,a
7.358564754,179.606068,Huascaran,a
40.40038616,174.4654852,Huascaran,a
37.79467814,164.7812478,Huascaran,a
22.96415236,172.5594668,Huascaran,a
3.282949428,179.0007743,Huascaran,a
18.44280114,175.9704091,Huascaran,a
16.28513065,170.8193187,Huascaran,a
20.10853686,170.0534398,Huascaran,a
20.24258963,171.0932718,Huascaran,a
26.61791119,166.9571182,Huascaran,a
18.46775404,169.7708317,Huascaran,a
46.43277822,177.1744436,Huascaran,b
20.48980395,170.6868505,Huascaran,b
18.45276701,176.7402672,Huascaran,b
20.48422948,182.921515,Huascaran,b
25.2012758,182.3539525,Huascaran,b
12.45363499,183.0819313,Huascaran,b
29.79512725,182.1753313,Huascaran,b
0,175.5122137,Huascaran,b
27.10772116,173.5323951,Huascaran,b
4.582095447,174.2216996,Huascaran,b
16.17675802,174.8399351,Huascaran,b
24.14801734,180.0634457,Huascaran,b
0.74291384,190.6409588,Huascaran,b
2.501824711,169.7087779,Huascaran,b
22.56301439,179.5743569,Huascaran,b
3.380430108,188.8472039,Huascaran,b
37.34032341,173.2164322,Huascaran,b
44.75108351,179.4239913,Huascaran,b
16.24916411,182.8767077,Huascaran,b
16.85241954,177.82055,Huascaran,b
10.82536052,191.9322152,Huascaran,c
20.46262142,185.6634414,Huascaran,c
36.4831356,188.224188,Huascaran,c
23.88316223,191.0762972,Huascaran,c
40.94881782,193.0720144,Huascaran,c
31.02904817,195.98165,Huascaran,c
23.63866671,185.5081277,Huascaran,c
24.38679641,191.7647472,Huascaran,c
23.94455038,184.0877927,Huascaran,c
30.11963933,193.0299285,Huascaran,c
14.01377579,193.2441459,Huascaran,c
28.38920414,187.5596646,Huascaran,c
59.63475581,192.8173674,Huascaran,c
19.09588064,192.8957911,Huascaran,c
38.23737418,189.0644148,Huascaran,c
27.0081432,190.6611123,Huascaran,c
52.36024757,197.7971633,Huascaran,c
21.3553336,186.3583927,Huascaran,c
31.53537946,196.1694599,Huascaran,c
41.73581083,188.3476105,Huascaran,c
28.79678487,200.4518306,Ausangate,a
34.16276531,202.6518694,Ausangate,a
82.1273426,204.0826204,Ausangate,a
58.69441216,205.1904028,Ausangate,a
23.37056553,201.4306689,Ausangate,a
51.06183641,199.2138714,Ausangate,a
43.36213882,203.2291598,Ausangate,a
